price,age,landValue,livingArea,bedrooms,bathrooms,rooms,heating,fuel,waterfront,newConstruction,centralAir
132500,42,50000,906,2,1,5,electric,electric,No,No,No
181115,0,22300,1953,3,2.5,6,hot water/steam,gas,No,No,No
109000,133,7300,1944,4,1,8,hot water/steam,gas,No,No,No
155000,13,18700,1944,3,1.5,5,hot air,gas,No,No,No
86060,0,15000,840,2,1,3,hot air,gas,No,Yes,Yes
120000,31,14000,1152,4,1,8,hot air,gas,No,No,No
153000,33,23300,2752,4,1.5,8,hot water/steam,oil,No,No,No
170000,23,14600,1662,4,1.5,9,hot air,oil,No,No,No
90000,36,22200,1632,3,1.5,8,electric,electric,No,No,No
122900,4,21200,1416,3,1.5,6,hot air,gas,No,No,No
325000,123,12600,2894,7,1,12,hot air,oil,No,No,No
120000,1,22300,1624,3,2,6,hot air,gas,No,No,No
85860,13,4800,704,2,1,4,electric,electric,No,No,No
97000,153,3100,1383,3,2,5,hot water/steam,gas,No,No,No
127000,9,300,1300,3,1.5,8,hot air,oil,No,No,No
89900,88,2500,936,3,1,4,hot water/steam,gas,No,No,No
155000,9,300,1300,3,1.5,7,hot air,oil,No,No,No
253750,0,49800,2816,4,2.5,12,hot air,gas,No,No,Yes
60000,82,8500,924,2,1,6,hot water/steam,oil,No,No,No
87500,17,19400,1092,3,1,6,hot air,oil,No,No,No
112000,12,8600,1056,3,1,7,electric,electric,No,No,No
104900,21,5600,1600,3,1.5,4,electric,electric,No,No,No
148635,1,6200,1576,3,2.5,7,hot air,gas,No,Yes,Yes
150000,24,5100,2080,3,2,6,hot air,oil,No,No,No
90400,16,5200,1600,3,1.5,4,electric,electric,No,No,No
248800,28,5500,2224,4,3,10,hot air,oil,No,No,No
135000,126,6000,1656,3,1,6,hot water/steam,oil,No,No,No
145000,26,4500,1170,4,1.5,5,hot air,oil,No,No,No
457000,53,2700,2461,4,2,10,hot air,oil,Yes,No,No
140000,56,19400,1544,3,1.5,7,hot air,oil,No,No,Yes
130000,51,24800,1220,2,1,4,hot water/steam,oil,No,No,No
187000,3,15200,1858,3,2.5,7,hot air,gas,No,No,No
229000,9,41100,2219,3,2,8,hot air,gas,No,No,No
227000,201,25500,1876,3,2.5,5,hot air,oil,No,No,No
179900,1,15200,2026,4,2.5,6,hot air,gas,No,No,No
169900,19,20200,1671,4,3,8,hot air,gas,No,No,Yes
209900,1,15200,2060,4,2.5,7,hot air,gas,No,No,No
169900,0,17300,1884,4,2.5,9,hot air,gas,No,No,No
293000,43,36600,2022,4,3,6,hot water/steam,gas,No,No,No
245900,0,20700,2394,4,2.5,7,hot air,gas,No,No,Yes
157000,45,20200,1390,3,1.5,6,hot air,gas,No,No,No
195000,32,27100,1954,4,2.5,8,hot air,gas,No,No,Yes
150000,54,24500,1554,3,1.5,5,hot air,oil,No,No,Yes
234900,9,41600,1976,3,2.5,6,hot air,gas,No,No,Yes
279550,0,44400,2479,4,2.5,10,hot air,gas,No,No,No
246500,0,17100,2714,4,2.5,9,hot air,gas,No,No,No
124000,98,15500,797,2,1,3,hot air,oil,No,No,No
138000,54,8900,1500,3,2.5,7,hot water/steam,gas,No,No,No
290000,73,61000,1838,4,2,8,hot air,oil,Yes,No,No
108000,48,19000,1042,2,2,3,hot air,gas,No,No,No
134900,10,8000,1782,3,2.5,6,hot air,gas,No,No,Yes
64500,16,1600,1480,2,2.5,5,hot air,gas,No,No,No
142000,20,13800,1426,3,2,6,hot air,gas,No,No,No
125000,32,11100,1404,3,2,5,hot air,gas,No,No,No
88000,15,3400,1480,3,1.5,5,hot water/steam,gas,No,No,Yes
135000,135,8100,1344,3,1,5,hot water/steam,gas,No,No,No
90000,14,1800,1480,2,2.5,5,hot air,gas,No,No,Yes
90100,15,2400,1480,3,1.5,7,hot water/steam,gas,No,No,No
126900,10,8400,1596,3,2.5,6,hot air,gas,No,No,No
175000,15,27200,1768,3,2,5,electric,electric,No,No,No
158000,10,12100,1348,2,2,3,hot air,gas,No,No,Yes
92000,14,1800,1480,3,1.5,8,hot air,gas,No,No,No
82800,225,3900,1483,3,1,7,hot air,gas,No,No,No
140000,25,8300,1576,4,1.5,5,hot air,gas,No,No,Yes
171000,15,24100,1008,2,1,7,electric,electric,No,No,No
200640,0,32000,2332,4,2.5,9,hot air,gas,No,Yes,No
139000,30,7500,1064,3,1,5,hot air,oil,No,No,No
225000,12,15300,2428,4,2.5,11,hot air,gas,No,No,Yes
182000,16,26600,1310,3,2,7,electric,electric,No,No,No
208767,0,32000,1662,3,2,7,hot air,gas,No,Yes,Yes
186000,0,4400,2000,4,2.5,7,hot air,gas,No,Yes,No
93000,14,2600,1480,3,1.5,6,hot air,gas,No,No,No
257386,0,32000,2969,4,4,10,hot air,gas,No,Yes,Yes
161000,10,10400,1542,3,2.5,5,hot air,gas,No,No,Yes
92000,18,6300,1527,4,2,7,hot air,oil,No,No,No
211002,0,32000,2195,4,2.5,8,hot air,gas,No,Yes,No
115000,14,1600,1480,3,1.5,6,hot air,gas,No,No,No
113000,53,9200,1452,3,2,7,hot water/steam,oil,No,No,Yes
216300,0,32000,2360,4,2.5,10,hot air,gas,No,Yes,No
145000,32,19000,1440,3,1,8,hot air,oil,No,No,No
114000,14,1600,1480,2,2.5,5,hot air,electric,No,No,No
139050,125,7300,1879,3,2.5,6,hot air,gas,No,No,No
104000,14,1600,1480,3,1.5,6,hot air,gas,No,No,No
169900,11,8700,1792,3,2.5,8,hot air,gas,No,No,No
177900,2,25000,1386,3,2.5,5,hot air,gas,No,No,No
133000,14,10300,1676,2,2,3,hot air,electric,No,No,Yes
185000,0,4000,768,4,2,9,hot air,gas,No,No,No
115000,16,10000,1560,3,1.5,8,electric,electric,No,No,Yes
100000,91,5000,1000,3,1,6,hot air,oil,No,No,No
117000,15,18900,1676,4,1.5,9,electric,electric,No,No,No
150000,11,19400,1656,3,1.5,6,electric,electric,No,No,No
187500,11,20600,2300,3,1.5,7,electric,electric,No,No,No
107000,25,18700,1712,3,1,6,hot air,gas,No,No,No
126900,26,18700,1350,3,1.5,5,hot air,gas,No,No,No
147000,15,18900,1676,3,2.5,6,hot air,gas,No,No,No
62000,103,10500,1317,3,1.5,7,hot water/steam,gas,No,No,No
101000,30,8700,1056,3,2,8,hot air,gas,No,No,No
143500,13,19900,912,3,1,7,hot air,gas,No,No,No
113400,18,4500,1232,2,2,3,electric,electric,No,No,No
76320,68,2000,1380,3,1,5,hot air,gas,No,No,No
110000,10,3100,936,3,1,6,hot air,gas,No,No,Yes
88000,49,3400,720,3,1,4,hot air,gas,No,No,No
108000,30,6500,1628,2,1.5,4,hot water/steam,oil,No,No,No
114900,41,5000,1144,3,1.5,6,hot air,gas,No,No,No
146000,2,3000,1827,3,2.5,9,hot air,gas,No,No,No
225000,8,3300,1784,3,2,6,hot water/steam,oil,No,No,No
138000,16,3700,1851,3,2.5,8,hot air,gas,No,No,Yes
218070,0,3500,2194,4,2.5,8,hot water/steam,gas,No,Yes,No
25000,75,900,920,2,1,6,hot air,oil,No,No,No
112000,36,3800,1280,3,1,5,hot water/steam,gas,No,No,No
112500,43,4600,1232,3,1,5,electric,electric,No,No,No
97000,45,3600,1406,3,1.5,6,hot water/steam,gas,No,No,No
121000,6,2500,1164,3,2,5,hot air,gas,No,No,No
65720,123,2100,1198,3,1,5,hot water/steam,gas,No,No,No
225000,10,6600,2206,4,2.5,8,hot air,gas,No,No,Yes
192000,0,5000,1880,3,2.5,9,hot air,gas,No,Yes,Yes
158500,6,3400,1368,3,1.5,8,hot air,oil,No,No,No
247000,16,6000,1901,3,2.5,5,hot air,gas,No,No,Yes
193777,11,3200,1547,3,2,8,hot air,gas,No,No,No
136500,12,5400,896,3,2,5,hot air,gas,No,No,No
75000,45,8000,1008,3,1,7,hot air,gas,No,No,No
45000,75,3900,912,2,1,4,hot air,gas,No,No,No
243000,12,3700,2443,3,2.5,6,hot air,gas,No,No,No
90000,83,3900,900,4,1,7,hot air,gas,No,No,No
158000,0,4400,2098,3,2,7,hot air,gas,No,Yes,Yes
174000,9,3000,2115,4,2.5,7,hot water/steam,gas,No,No,No
150000,12,4500,1344,2,2,7,hot air,gas,No,No,No
159650,3,5200,1106,3,1,8,hot air,gas,No,No,No
139062,33,6500,1440,3,2,6,hot water/steam,gas,No,No,No
84950,0,15000,840,2,1,3,hot air,gas,No,Yes,No
102000,10,7300,1170,2,1,6,hot air,gas,No,No,No
175000,15,23400,1664,4,1,5,hot air,oil,No,No,No
78500,153,27300,3024,4,1,12,hot air,oil,No,No,No
232478,0,15900,2598,4,2.5,9,hot air,gas,No,No,No
93805,0,15000,840,2,1.5,7,hot air,gas,No,Yes,No
119900,63,41500,1701,5,1,10,hot water/steam,oil,No,No,No
146000,33,41800,1456,3,1.5,6,hot air,oil,No,No,No
125000,44,19000,1224,3,1,4,hot air,oil,No,No,No
135000,48,21300,1411,3,1,5,hot air,gas,No,No,No
157500,29,39700,1608,3,1.5,5,hot air,oil,No,No,No
135000,178,44500,3020,4,2.5,12,hot water/steam,oil,No,No,No
142900,32,22500,1898,3,1.5,7,hot water/steam,gas,No,No,No
259900,1,36600,2544,4,2.5,9,hot air,gas,No,Yes,Yes
85000,16,22100,1038,2,1,7,electric,electric,No,No,No
180377,1,37000,1820,3,2.5,6,hot air,gas,No,Yes,No
163500,21,28400,2202,3,2,10,electric,electric,No,No,Yes
106500,53,20300,2387,3,1,6,hot air,oil,No,No,No
115000,16,20700,1368,2,1.5,3,electric,electric,No,No,Yes
115000,16,21000,1480,2,2,5,electric,electric,No,No,Yes
135000,15,19600,1348,2,1.5,5,electric,electric,No,No,Yes
198900,7,25500,1889,4,2.5,8,hot air,gas,No,No,Yes
139000,16,19600,1343,2,1.5,6,electric,electric,No,No,Yes
206000,15,39600,2011,3,2.5,7,hot air,gas,No,No,Yes
120000,15,28800,1180,2,1.5,3,hot air,gas,No,No,Yes
205980,1,45200,1983,3,2.5,5,hot air,gas,No,Yes,Yes
275000,14,72000,2253,3,2.5,7,hot air,gas,No,No,Yes
139000,12,24500,1604,2,1.5,4,hot air,gas,No,No,Yes
89900,83,11900,1196,3,1,6,hot air,gas,No,No,No
139900,13,24500,1602,2,2.5,7,hot air,gas,No,No,Yes
172750,1,37100,1747,3,2.5,5,hot air,gas,No,Yes,No
136000,37,19800,1092,3,1,5,hot water/steam,oil,No,No,No
270000,10,37800,2410,4,2.5,11,hot air,gas,No,No,Yes
174000,14,31100,1933,3,2.5,6,hot air,gas,No,No,Yes
379000,9,57200,3080,4,2.5,12,hot air,gas,No,No,Yes
382500,13,75500,4534,6,2.5,12,hot air,oil,No,No,Yes
144900,14,26000,1677,3,2.5,5,hot air,gas,No,No,Yes
349900,7,57800,2900,4,2.5,11,hot air,gas,No,No,Yes
133000,16,20300,1392,2,1.5,5,electric,electric,No,No,Yes
115000,15,22400,1058,2,1.5,7,hot air,gas,No,No,No
211950,1,29200,2342,4,2.5,8,hot air,gas,No,Yes,Yes
227812,0,37200,2206,4,2.5,10,hot air,gas,No,Yes,Yes
164400,1,36200,1516,3,2,5,hot air,gas,No,Yes,Yes
340000,12,82500,2836,4,2.5,10,hot air,gas,No,No,Yes
139900,15,35200,1256,2,1.5,7,hot air,gas,No,No,Yes
279900,6,20000,2340,4,3.5,10,hot air,gas,No,No,Yes
225000,0,53900,2129,4,2.5,9,hot air,gas,No,Yes,Yes
144500,15,16800,1343,2,2.5,4,hot air,gas,No,No,Yes
362710,0,24300,2963,4,2.5,10,hot air,gas,No,Yes,Yes
247000,13,36600,2114,4,3.5,8,hot air,gas,No,No,Yes
120000,16,21400,1144,2,1,7,electric,electric,No,No,Yes
136000,33,14900,988,3,1,7,hot air,oil,No,No,No
228500,9,45800,1475,3,2,4,hot air,gas,No,No,No
162800,10,28500,1247,3,1.5,7,hot air,gas,No,No,No
230000,48,23500,1912,5,2,10,hot water/steam,gas,No,No,No
115800,23,19700,1440,3,1.5,5,hot air,oil,No,No,No
175000,16,30100,1596,3,2,6,hot air,gas,No,No,Yes
263008,0,24400,2665,4,2.5,11,hot air,gas,No,Yes,Yes
146000,35,28000,1984,3,1.5,8,hot water/steam,gas,No,No,No
204900,10,35800,1616,3,2,6,hot air,gas,No,No,Yes
265000,9,40500,1917,3,2.5,5,hot air,gas,No,No,No
167500,37,16400,2592,3,1.5,9,hot water/steam,oil,No,No,No
205000,6,25500,1845,3,2.5,9,hot air,gas,No,No,No
170000,53,29000,1360,4,1,9,hot air,oil,No,No,Yes
176000,35,26200,1664,3,1.5,6,hot air,gas,No,No,Yes
132000,15,22400,1098,2,1.5,3,hot air,gas,No,No,Yes
115500,17,9900,1214,2,1.5,4,electric,electric,No,No,No
150000,93,9200,1046,3,1,6,electric,electric,No,No,No
120000,103,32200,1144,3,1,8,hot air,oil,No,No,No
125000,16,22000,1140,2,2,6,hot air,gas,No,No,Yes
150000,14,21000,1232,2,1.5,5,hot air,gas,No,No,No
362360,0,153800,3020,4,2.5,9,hot air,gas,No,Yes,Yes
133500,19,27000,1508,3,2,6,hot air,gas,No,No,No
91000,19,15700,912,2,1.5,5,electric,electric,No,No,No
104000,18,27000,1508,3,1.5,4,electric,electric,No,No,No
148000,17,27000,1561,3,1.5,6,hot air,gas,No,No,No
182000,30,26400,2625,4,2.5,8,hot water/steam,gas,No,No,No
152500,30,19600,936,3,1,7,hot water/steam,gas,No,No,No
97000,19,15700,912,2,1.5,3,electric,electric,No,No,No
113000,16,15100,1492,3,2.5,8,electric,electric,No,No,No
172000,30,26300,1599,4,2.5,5,hot water/steam,gas,No,No,No
179900,25,25000,2304,5,2.5,9,electric,electric,No,No,No
84000,19,15700,912,2,1.5,7,electric,electric,No,No,No
117900,17,15100,1385,2,1.5,7,hot air,gas,No,No,Yes
177000,17,27000,1561,4,1.5,8,electric,electric,No,No,No
107500,20,15700,884,2,2,3,hot water/steam,gas,No,No,No
92500,18,15700,912,2,2,4,electric,electric,No,No,No
102900,17,15700,912,2,1.5,3,electric,gas,No,No,No
134800,73,20500,1384,3,2,5,hot air,oil,No,No,No
150000,7,30000,1334,3,1.5,4,hot air,gas,No,No,No
165000,10,26200,1433,3,2,5,hot air,gas,No,No,Yes
120000,16,15100,1492,3,2.5,6,electric,electric,No,No,No
177500,16,27000,1561,4,1.5,9,hot air,gas,No,No,Yes
300000,11,32000,936,1,1,3,electric,electric,Yes,No,No
123500,16,15100,1492,3,2.5,8,electric,electric,No,No,No
141000,18,15100,1853,3,2.5,7,electric,electric,No,No,No
105400,15,15100,1240,2,1.5,7,electric,electric,No,No,No
100600,19,15800,912,2,1.5,6,electric,electric,No,No,No
108900,19,15800,912,2,1.5,3,hot air,gas,No,No,No
105500,19,15700,912,2,1.5,6,hot water/steam,gas,No,No,No
109900,19,15100,1184,3,1.5,8,hot water/steam,gas,No,No,No
172700,18,27000,1638,3,2,6,electric,electric,No,No,No
166500,16,27000,1508,3,2,6,electric,electric,No,No,No
105000,50,18000,672,2,1,5,electric,electric,No,No,No
490000,18,79700,1346,3,2,6,hot air,oil,Yes,No,No
120000,18,15100,1184,3,2,5,electric,electric,No,No,No
107500,16,15700,912,2,1.5,4,hot air,gas,No,No,No
116600,18,15700,912,2,1.5,5,electric,electric,No,No,No
65000,19,15700,988,2,2,4,hot air,gas,No,No,No
118000,19,15100,1184,3,2,6,hot air,gas,No,No,No
115900,16,15100,1385,2,1.5,4,electric,electric,No,No,No
100000,18,15700,912,2,1.5,3,hot water/steam,gas,No,No,No
171000,18,27000,1548,3,2,5,hot air,gas,No,No,Yes
188000,17,27000,1561,4,1.5,9,electric,electric,No,No,No
140000,24,21000,1008,2,1,3,hot air,gas,No,No,Yes
124500,17,15200,1385,2,1.5,4,electric,electric,No,No,No
107200,19,15700,908,2,1,6,hot air,gas,No,No,No
107500,138,1400,2246,4,1.5,9,hot water/steam,oil,No,No,No
180000,16,5900,1820,3,2.5,5,hot air,gas,No,No,No
214325,0,13000,2554,4,2.5,9,hot air,gas,No,Yes,Yes
128850,16,5500,824,3,1.5,5,electric,electric,No,No,No
208700,0,15000,2458,4,2.5,9,hot air,gas,No,No,No
139900,22,10500,1324,3,1,4,electric,electric,No,No,No
350000,12,20000,2916,3,2.5,9,hot air,gas,No,No,Yes
108000,19,15100,1032,2,1.5,4,electric,electric,No,No,No
115500,16,15700,912,2,1.5,4,electric,electric,No,No,No
135000,35,19600,1320,2,1,3,electric,electric,No,No,No
135000,17,27000,1508,3,1.5,8,hot air,gas,No,No,No
107400,16,15700,912,2,1.5,7,electric,electric,No,No,No
233000,12,31200,2040,4,2.5,7,hot air,gas,No,No,Yes
105000,17,15700,912,2,1.5,5,electric,electric,No,No,No
335000,10,53600,1776,2,2,6,hot air,oil,No,No,Yes
139000,25,25000,1304,3,2,8,electric,electric,No,No,No
209500,10,26200,1836,4,2.5,8,hot air,gas,No,No,Yes
101000,18,15800,912,2,2,3,electric,electric,No,No,No
77500,19,15700,912,2,1.5,6,electric,electric,No,No,No
150500,16,27000,1527,2,2,7,electric,electric,No,No,No
167000,17,5700,1454,3,1.5,7,electric,electric,No,No,No
114000,26,4600,1700,3,1.5,4,hot water/steam,oil,No,No,No
160000,27,7000,1680,4,1,9,electric,electric,No,No,No
85000,0,13000,2401,4,2.5,10,hot air,gas,No,No,Yes
143000,21,11000,1176,3,1,7,electric,electric,No,No,No
126000,24,9800,1344,3,1.5,7,electric,electric,No,No,No
140000,23,10400,1344,3,1.5,8,electric,electric,No,No,No
140000,9,13000,1714,3,2.5,8,hot water/steam,gas,No,No,No
205000,20,29000,1992,4,3,9,hot air,gas,No,No,No
79900,19,18200,924,2,1,7,hot air,gas,No,No,Yes
139000,24,17600,1290,2,1.5,3,hot air,gas,No,No,Yes
190000,36,27400,2521,4,2.5,10,hot water/steam,gas,No,No,No
151500,58,22700,1377,3,1.5,7,hot water/steam,oil,No,No,No
97500,19,16400,1237,2,1.5,6,hot air,gas,No,No,Yes
194500,41,32300,2310,4,2.5,7,hot water/steam,gas,No,No,Yes
195160,0,35000,1863,3,2.5,9,hot air,gas,No,No,No
152500,26,37500,1693,3,1.5,8,hot air,gas,No,No,Yes
159500,26,31400,1684,3,2.5,4,hot air,gas,No,No,Yes
185000,16,40900,1585,3,1.5,4,electric,electric,No,No,Yes
240000,8,72400,2290,4,3,9,hot air,gas,No,No,Yes
187900,32,30000,2464,5,2.5,9,hot air,gas,No,No,Yes
262000,5,29000,2549,4,2.5,12,hot air,gas,No,No,Yes
212500,6,36500,2316,4,2.5,7,hot air,gas,No,No,Yes
220000,18,43000,2600,4,2.5,8,hot air,gas,No,No,Yes
245000,15,65800,2677,4,2.5,10,hot air,gas,No,No,Yes
120000,19,16400,1479,3,1.5,4,electric,electric,No,No,Yes
102500,16,18500,1138,2,1,7,electric,electric,No,No,Yes
136000,24,18900,1576,3,2.5,4,hot water/steam,gas,No,No,No
212500,10,52200,2084,4,2.5,9,hot air,gas,No,No,Yes
205900,26,35900,1726,3,2,8,hot air,gas,No,No,Yes
259900,2,49900,1851,2,2,4,hot air,gas,No,No,Yes
191500,30,27400,2310,5,2.5,12,hot air,gas,No,No,No
272500,0,56800,2930,4,2.5,12,hot air,gas,No,No,No
191500,33,35900,2576,4,2.5,10,hot water/steam,gas,No,No,No
158000,36,30500,1664,3,2,8,hot water/steam,gas,No,No,No
195000,24,46000,1237,2,1.5,3,electric,electric,No,No,No
187500,29,31400,2662,5,2.5,9,hot air,gas,No,No,Yes
160000,35,32300,1575,3,1.5,7,hot air,gas,No,No,No
137500,12,18000,1566,2,1.5,7,hot air,gas,No,No,Yes
109900,16,17600,1326,2,1.5,4,hot air,gas,No,No,Yes
85000,18,17600,1480,3,1.5,8,hot water/steam,gas,No,No,No
184350,0,38400,2161,4,2.5,11,hot air,gas,No,No,No
134500,10,18600,1352,2,1.5,3,hot air,gas,No,No,Yes
154900,33,34600,1648,3,1.5,8,hot air,gas,No,No,Yes
255000,25,60500,2936,3,3.5,12,hot air,gas,No,No,Yes
238600,1,36400,2404,4,2.5,10,hot air,gas,No,No,No
106000,36,30900,1738,3,1.5,9,hot air,gas,No,No,No
625000,14,119500,5228,4,4,12,hot air,gas,No,No,Yes
195000,34,30500,2576,4,2.5,12,hot water/steam,gas,No,No,No
168500,34,31800,1586,3,1.5,7,hot air,gas,No,No,No
87000,19,16400,1480,3,1.5,5,electric,electric,No,No,No
215000,15,37000,1917,4,2.5,7,hot air,gas,No,No,No
197500,30,24500,1938,3,1.5,9,hot air,gas,No,No,Yes
215000,3,11600,2110,4,2.5,8,hot air,gas,No,No,Yes
118000,19,18400,1479,3,1.5,5,hot air,gas,No,No,No
187900,34,34700,2576,5,2.5,9,hot water/steam,gas,No,No,No
275000,18,60800,2445,4,2.5,9,hot air,gas,No,No,Yes
249900,14,73800,2185,3,2.5,7,hot air,gas,No,No,Yes
270000,18,82800,2078,4,2.5,8,hot air,electric,No,No,Yes
157900,37,29100,1674,3,1.5,5,hot air,gas,No,No,No
120000,19,20300,1228,4,1.5,9,electric,electric,No,No,No
126400,22,19500,1375,2,1.5,7,electric,electric,No,No,Yes
220000,16,30200,1650,3,2,5,hot air,gas,No,No,Yes
180000,31,21900,1718,3,1.5,9,hot air,gas,No,No,Yes
203600,33,31700,2576,4,2.5,9,hot water/steam,gas,No,No,No
249900,4,37500,2280,4,2.5,7,hot air,gas,No,No,No
193000,18,25000,2088,4,2.5,10,hot water/steam,gas,No,No,No
215000,15,37000,1917,4,2.5,9,hot air,gas,No,No,No
201000,29,30200,3140,5,3.5,10,hot water/steam,gas,No,No,No
65000,73,6900,1029,3,1,4,hot air,gas,No,No,No
195000,36,39800,1896,4,2.5,7,hot air,gas,No,No,Yes
215900,38,29600,2310,5,2.5,9,hot water/steam,gas,No,No,No
92000,17,19600,924,2,1,6,electric,electric,No,No,No
155000,25,38000,2080,3,2.5,9,electric,gas,No,No,Yes
123500,22,17200,1237,3,1.5,4,electric,electric,No,No,Yes
110400,29,18000,1287,3,1.5,5,hot air,gas,No,No,Yes
198900,18,33200,1847,3,2.5,7,hot water/steam,gas,No,No,No
150000,49,41900,1064,3,1,8,hot air,gas,No,No,Yes
104000,18,16800,1480,3,1.5,4,hot air,gas,No,No,Yes
